Project ID,Sr No.,Item Name,Item Category,Quantity,UOM,Rate ($),Amount ($),Weight (kg),Month,Year,Company Name,City,Country
AG-APR25,349,Omni mom (3 kg),Raw Material,1.0,No., $58.00 ,58.0,10.0,March,2025,Shalimar Steels,Soba,Sudan
AG-APR25,350,Pioneer (250 gm),Raw Material,1.0,No., $4.00 ,4.0,10.0,March,2025,Shalimar Steels,Soba,Sudan
AG-APR25,351,Ribber small pcs,Raw Material,9.0,No., $1.00 ,7.0,90.0,March,2025,Shalimar Steels,Soba,Sudan
AG-APR25,352,Small pipe,Raw Material,2.0,No., $1.00 ,1.0,20.0,March,2025,Shalimar Steels,Soba,Sudan
AG-APR25,353,Steel plate small,Raw Material,6.0,No., $-   ,2.0,150.0,March,2025,Shalimar Steels,Soba,Sudan
AG-APR25,354,Steel round pcs,Raw Material,28.0,No., $1.00 ,34.0,700.0,March,2025,Shalimar Steels,Soba,Sudan
AG-APR25,355,Steel small pcs,Raw Material,13.0,No., $2.00 ,30.0,325.0,March,2025,Shalimar Steels,Soba,Sudan
AG-APR25,356,Water colour,Raw Material,1.0,No., $3.00 ,3.0,10.0,March,2025,Shalimar Steels,Soba,Sudan
AG-APR25,357,Wood small,Raw Material,3.0,No., $1.00 ,3.0,30.0,March,2025,Shalimar Steels,Soba,Sudan
AG-MAY25,358,Wire 16 mm,Cable,12.0,meter,,,12.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,359,Wire 4 mm,Cable,10.0,meter,,,10.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,360,Wire 6 mm,Cable,20.0,meter,,,20.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,361,Button Machine,Mechanical,1.0,Piece,,,500.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,362,Cutter Machine,Mechanical,1.0,Piece,,,500.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,363,Jack Machine,Mechanical,5.0,Piece,,,2500.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,364,Kaj Machine 781 Model,Mechanical,1.0,Piece,,,500.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,365,Kaj Machine Tank,Mechanical,1.0,Piece,,,500.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,366,Machine Parts,Mechanical,3.0,Box,,,1500.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,367,Machine Table,Mechanical,8.0,Piece,,,4000.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,368,Overlock Machine,Mechanical,1.0,Piece,,,500.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,369,Puhh Chering Motor,Mechanical,1.0,Piece,,,50.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,370,Sewing Machine Stands,Mechanical,8.0,Stand,,,4000.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,371,Kaj Meter,Meter,1.0,Box,,,1.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,372,Crown Mortor,Raw Material,5.0,Piece,,,50.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,373,DB Box,Raw Material,1.0,Piece,,,10.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
